ERROR: config not specified
IPv6 support
usage: ssserver [OPTION]...
A fast tunnel proxy that helps you bypass firewalls.

You can supply configurations via either config file or command line arguments.

Proxy options:
  -c CONFIG              path to config file
  -s SERVER_ADDR         server address, default: 0.0.0.0
  -p SERVER_PORT         server port, default: 8388
  -k PASSWORD            password
  -m METHOD              encryption method, default: aes-256-cfb
  -o OBFS                obfsplugin, default: http_simple
  -t TIMEOUT             timeout in seconds, default: 300
  --fast-open            use TCP_FASTOPEN, requires Linux 3.7+
  --workers WORKERS      number of workers, available on Unix/Linux
  --forbidden-ip IPLIST  comma seperated IP list forbidden to connect
  --manager-address ADDR optional server manager UDP address, see wiki

General options:
  -h, --help             show this help message and exit
  -d start/stop/restart  daemon mode
  --pid-file PID_FILE    pid file for daemon mode
  --log-file LOG_FILE    log file for daemon mode
  --user USER            username to run as
  -v, -vv                verbose mode
  -q, -qq                quiet mode, only show warnings/errors
  --version              show version information

Online help: <https://github.com/shadowsocks/shadowsocks>

INFO: loading config from /root/shadowsocksr/shadowsocks/../shadowsocks/../config.json
2020-08-07 15:48:49 INFO     loading libcrypto from /root/miniconda3/lib/libcrypto.so.1.1
2020-08-07 15:48:49 INFO     server start with protocol[origin] password [b'password'] method [aes-256-cfb] obfs [plain] obfs_param []
2020-08-07 15:48:49 INFO     starting server at :::18388
INFO: loading config from /root/shadowsocksr/shadowsocks/../shadowsocks/../config.json
2020-08-07 15:49:18 INFO     loading libcrypto from /root/miniconda3/lib/libcrypto.so.1.1
2020-08-07 15:49:18 INFO     server start with protocol[origin] password [b'password'] method [aes-256-cfb] obfs [plain] obfs_param []
2020-08-07 15:49:18 INFO     starting server at :::18388
2020-08-07 15:49:33 INFO     TCP connecting github.com:443 from ::ffff:111.40.35.2:12799
2020-08-07 15:49:34 INFO     TCP connecting alive.github.com:443 from ::ffff:111.40.35.2:13756
2020-08-07 15:49:46 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:24184
2020-08-07 15:49:46 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:49:47 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:25229
2020-08-07 15:49:48 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:49:48 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:26096
2020-08-07 15:49:49 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:49:49 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:26577
2020-08-07 15:49:49 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:26593
2020-08-07 15:49:49 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:26679
2020-08-07 15:49:49 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:49:50 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:49:50 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:27337
2020-08-07 15:49:50 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:27424
2020-08-07 15:49:50 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:49:58 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:07 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:41377
2020-08-07 15:50:08 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:09 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:40767
2020-08-07 15:50:11 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:12 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:45633
2020-08-07 15:50:12 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:18 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:50424
2020-08-07 15:50:19 INFO     TCP connecting ogs.google.com:443 from ::ffff:111.40.35.2:52163
2020-08-07 15:50:32 INFO     TCP connecting nexus.officeapps.live.com:443 from ::ffff:111.40.35.2:57599
2020-08-07 15:50:34 INFO     TCP connecting nexusrules.officeapps.live.com:443 from ::ffff:111.40.35.2:13597
2020-08-07 15:50:37 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:16683
2020-08-07 15:50:38 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:38 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:17200
2020-08-07 15:50:38 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:40 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:19136
2020-08-07 15:50:41 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:42 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:20208
2020-08-07 15:50:42 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:44 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:21868
2020-08-07 15:50:45 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:48 INFO     TCP connecting clients4.google.com:443 from ::ffff:111.40.35.2:25607
2020-08-07 15:50:49 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:54 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:31026
2020-08-07 15:50:54 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:56 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:32388
2020-08-07 15:50:56 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:56 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:33193
2020-08-07 15:50:58 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:58 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:34495
2020-08-07 15:50:58 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:34577
2020-08-07 15:50:58 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:59 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:50:59 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:35234
2020-08-07 15:51:00 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:45871
2020-08-07 15:51:07 INFO     TCP connecting www.youtube.com:443 from ::ffff:111.40.35.2:42244
2020-08-07 15:51:08 INFO     TCP connecting i.ytimg.com:443 from ::ffff:111.40.35.2:42775
2020-08-07 15:51:17 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:18 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:18 INFO     TCP connecting www.youtube.com:443 from ::ffff:111.40.35.2:50766
2020-08-07 15:51:18 INFO     TCP connecting s.ytimg.com:443 from ::ffff:111.40.35.2:50773
2020-08-07 15:51:18 INFO     TCP connecting content-autofill.googleapis.com:443 from ::ffff:111.40.35.2:50769
2020-08-07 15:51:19 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:27 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:57814
2020-08-07 15:51:27 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:28 INFO     TCP connecting www.google.com:443 from ::ffff:111.40.35.2:58912
2020-08-07 15:51:31 INFO     TCP connecting ogs.google.com:443 from ::ffff:111.40.35.2:11056
2020-08-07 15:51:31 INFO     TCP connecting apis.google.com:443 from ::ffff:111.40.35.2:11439
2020-08-07 15:51:31 INFO     TCP connecting play.google.com:443 from ::ffff:111.40.35.2:11479
2020-08-07 15:51:31 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:11486
2020-08-07 15:51:32 INFO     TCP connecting accounts.google.com:443 from ::ffff:111.40.35.2:12308
2020-08-07 15:51:33 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:33 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:12819
2020-08-07 15:51:33 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:33 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:13272
2020-08-07 15:51:34 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:34 INFO     TCP connecting accounts.google.com:443 from ::ffff:111.40.35.2:14062
2020-08-07 15:51:34 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:35 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:14359
2020-08-07 15:51:35 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:38 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:17363
2020-08-07 15:51:39 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:39 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:18078
2020-08-07 15:51:40 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:51:42 INFO     TCP connecting mail.google.com:443 from ::ffff:111.40.35.2:20433
